Algorithm,Category,Network_Nodes_N,Gas_Price_Gwei,Unagg_Total_Gas,Agg_Total_Gas,Gas_Savings_Pct,Unagg_Tx_USD,Agg_Tx_USD,Annual_Agg_Cost_USD
ECDSA (secp256k1),Classical,5,10,48192,43692,9.34,1.4458,1.3108,688935.46
ECDSA (secp256k1),Classical,5,30,48192,43692,9.34,4.3373,3.9323,2066806.37
ECDSA (secp256k1),Classical,5,50,48192,43692,9.34,7.2288,6.5538,3444677.28
ECDSA (secp256k1),Classical,5,100,48192,43692,9.34,14.4576,13.1076,6889354.56
ECDSA (secp256k1),Classical,11,10,73032,63132,13.56,2.191,1.894,995465.38
ECDSA (secp256k1),Classical,11,30,73032,63132,13.56,6.5729,5.6819,2986396.13
ECDSA (secp256k1),Classical,11,50,73032,63132,13.56,10.9548,9.4698,4977326.88
ECDSA (secp256k1),Classical,11,100,73032,63132,13.56,21.9096,18.9396,9954653.76
ECDSA (secp256k1),Classical,21,10,114428,95528,16.52,3.4328,2.8658,1506285.5
ECDSA (secp256k1),Classical,21,30,114428,95528,16.52,10.2985,8.5975,4518856.51
ECDSA (secp256k1),Classical,21,50,114428,95528,16.52,17.1642,14.3292,7531427.52
ECDSA (secp256k1),Classical,21,100,114428,95528,16.52,34.3284,28.6584,15062855.04
ECDSA (secp256k1),Classical,31,10,155824,127923,17.91,4.6747,3.8377,2017089.86
ECDSA (secp256k1),Classical,31,30,155824,127923,17.91,14.0242,11.5131,6051269.59
ECDSA (secp256k1),Classical,31,50,155824,127923,17.91,23.3736,19.1884,10085449.32
ECDSA (secp256k1),Classical,31,100,155824,127923,17.91,46.7472,38.3769,20170898.64
ECDSA (secp256k1),Classical,51,10,238616,192716,19.24,7.1585,5.7815,3038745.89
ECDSA (secp256k1),Classical,51,30,238616,192716,19.24,21.4754,17.3444,9116237.66
ECDSA (secp256k1),Classical,51,50,238616,192716,19.24,35.7924,28.9074,15193729.44
ECDSA (secp256k1),Classical,51,100,238616,192716,19.24,71.5848,57.8148,30387458.88
BLS12-381,Classical,5,10,260200,80284,69.15,7.806,2.4085,1265918.11
BLS12-381,Classical,5,30,260200,80284,69.15,23.418,7.2256,3797754.34
BLS12-381,Classical,5,50,260200,80284,69.15,39.03,12.0426,6329590.56
BLS12-381,Classical,5,100,260200,80284,69.15,78.06,24.0852,12659181.12
BLS12-381,Classical,11,10,539440,87856,83.71,16.1832,2.6357,1385313.41
BLS12-381,Classical,11,30,539440,87856,83.71,48.5496,7.907,4155940.22
BLS12-381,Classical,11,50,539440,87856,83.71,80.916,13.1784,6926567.04
BLS12-381,Classical,11,100,539440,87856,83.71,161.832,26.3568,13853134.08
BLS12-381,Classical,21,10,1004840,100472,90.0,30.1452,3.0142,1584242.5
BLS12-381,Classical,21,30,1004840,100472,90.0,90.4356,9.0425,4752727.49
BLS12-381,Classical,21,50,1004840,100472,90.0,150.726,15.0708,7921212.48
BLS12-381,Classical,21,100,1004840,100472,90.0,301.452,30.1416,15842424.96
BLS12-381,Classical,31,10,1470240,113088,92.31,44.1072,3.3926,1783171.58
BLS12-381,Classical,31,30,1470240,113088,92.31,132.3216,10.1779,5349514.75
BLS12-381,Classical,31,50,1470240,113088,92.31,220.536,16.9632,8915857.92
BLS12-381,Classical,31,100,1470240,113088,92.31,441.072,33.9264,17831715.84
BLS12-381,Classical,51,10,2401040,138320,94.24,72.0312,4.1496,2181029.76
BLS12-381,Classical,51,30,2401040,138320,94.24,216.0936,12.4488,6543089.28
BLS12-381,Classical,51,50,2401040,138320,94.24,360.156,20.748,10905148.8
BLS12-381,Classical,51,100,2401040,138320,94.24,720.312,41.496,21810297.6
ML-DSA-44,PQ - Lattice,5,10,1414148,414134,70.71,42.4244,12.424,6530064.91
ML-DSA-44,PQ - Lattice,5,30,1414148,414134,70.71,127.2733,37.2721,19590194.74
ML-DSA-44,PQ - Lattice,5,50,1414148,414134,70.71,212.1222,62.1201,32650324.56
ML-DSA-44,PQ - Lattice,5,100,1414148,414134,70.71,424.2444,124.2402,65300649.12
ML-DSA-44,PQ - Lattice,11,10,3078116,467918,84.8,92.3435,14.0375,7378131.02
ML-DSA-44,PQ - Lattice,11,30,3078116,467918,84.8,277.0304,42.1126,22134393.07
ML-DSA-44,PQ - Lattice,11,50,3078116,467918,84.8,461.7174,70.1877,36890655.12
ML-DSA-44,PQ - Lattice,11,100,3078116,467918,84.8,923.4348,140.3754,73781310.24
ML-DSA-44,PQ - Lattice,21,10,5851412,512362,91.24,175.5424,15.3709,8078924.02
ML-DSA-44,PQ - Lattice,21,30,5851412,512362,91.24,526.6271,46.1126,24236772.05
ML-DSA-44,PQ - Lattice,21,50,5851412,512362,91.24,877.7118,76.8543,40394620.08
ML-DSA-44,PQ - Lattice,21,100,5851412,512362,91.24,1755.4236,153.7086,80789240.16
ML-DSA-44,PQ - Lattice,31,10,8624708,539378,93.75,258.7412,16.1813,8504912.3
ML-DSA-44,PQ - Lattice,31,30,8624708,539378,93.75,776.2237,48.544,25514736.91
ML-DSA-44,PQ - Lattice,31,50,8624708,539378,93.75,1293.7062,80.9067,42524561.52
ML-DSA-44,PQ - Lattice,31,100,8624708,539378,93.75,2587.4124,161.8134,85049123.04
ML-DSA-44,PQ - Lattice,51,10,14171300,574343,95.95,425.139,17.2303,9056240.42
ML-DSA-44,PQ - Lattice,51,30,14171300,574343,95.95,1275.417,51.6909,27168721.27
ML-DSA-44,PQ - Lattice,51,50,14171300,574343,95.95,2125.695,86.1514,45281202.12
ML-DSA-44,PQ - Lattice,51,100,14171300,574343,95.95,4251.39,172.3029,90562404.24
ML-DSA-65,PQ - Lattice,5,10,1982592,563215,71.59,59.4778,16.8964,8880774.12
ML-DSA-65,PQ - Lattice,5,30,1982592,563215,71.59,178.4333,50.6894,26642322.36
ML-DSA-65,PQ - Lattice,5,50,1982592,563215,71.59,297.3888,84.4822,44403870.6
ML-DSA-65,PQ - Lattice,5,100,1982592,563215,71.59,594.7776,168.9645,88807741.2
ML-DSA-65,PQ - Lattice,11,10,4328712,634365,85.35,129.8614,19.031,10002667.32
ML-DSA-65,PQ - Lattice,11,30,4328712,634365,85.35,389.5841,57.0929,30008001.96
ML-DSA-65,PQ - Lattice,11,50,4328712,634365,85.35,649.3068,95.1548,50013336.6
ML-DSA-65,PQ - Lattice,11,100,4328712,634365,85.35,1298.6136,190.3095,100026673.2
ML-DSA-65,PQ - Lattice,21,10,8238920,693015,91.59,247.1676,20.7904,10927460.52
ML-DSA-65,PQ - Lattice,21,30,8238920,693015,91.59,741.5028,62.3713,32782381.56
ML-DSA-65,PQ - Lattice,21,50,8238920,693015,91.59,1235.838,103.9523,54637302.6
ML-DSA-65,PQ - Lattice,21,100,8238920,693015,91.59,2471.676,207.9045,109274605.2
ML-DSA-65,PQ - Lattice,31,10,12149116,728591,94.0,364.4735,21.8577,11488422.89
ML-DSA-65,PQ - Lattice,31,30,12149116,728591,94.0,1093.4204,65.5732,34465268.66
ML-DSA-65,PQ - Lattice,31,50,12149116,728591,94.0,1822.3674,109.2886,57442114.44
ML-DSA-65,PQ - Lattice,31,100,12149116,728591,94.0,3644.7348,218.5773,114884228.88
ML-DSA-65,PQ - Lattice,51,10,19969520,774505,96.12,599.0856,23.2352,12212394.84
ML-DSA-65,PQ - Lattice,51,30,19969520,774505,96.12,1797.2568,69.7054,36637184.52
ML-DSA-65,PQ - Lattice,51,50,19969520,774505,96.12,2995.428,116.1758,61061974.2
ML-DSA-65,PQ - Lattice,51,100,19969520,774505,96.12,5990.856,232.3515,122123948.4
ML-DSA-87,PQ - Lattice,5,10,2634084,740530,71.89,79.0225,22.2159,11676677.04
ML-DSA-87,PQ - Lattice,5,30,2634084,740530,71.89,237.0676,66.6477,35030031.12
ML-DSA-87,PQ - Lattice,5,50,2634084,740530,71.89,395.1126,111.0795,58383385.2
ML-DSA-87,PQ - Lattice,5,100,2634084,740530,71.89,790.2252,222.159,116766770.4
ML-DSA-87,PQ - Lattice,11,10,5761980,834694,85.51,172.8594,25.0408,13161454.99
ML-DSA-87,PQ - Lattice,11,30,5761980,834694,85.51,518.5782,75.1225,39484364.98
ML-DSA-87,PQ - Lattice,11,50,5761980,834694,85.51,864.297,125.2041,65807274.96
ML-DSA-87,PQ - Lattice,11,100,5761980,834694,85.51,1728.594,250.4082,131614549.92
ML-DSA-87,PQ - Lattice,21,10,10975160,912241,91.69,329.2548,27.3672,14384216.09
ML-DSA-87,PQ - Lattice,21,30,10975160,912241,91.69,987.7644,82.1017,43152648.26
ML-DSA-87,PQ - Lattice,21,50,10975160,912241,91.69,1646.274,136.8362,71921080.44
ML-DSA-87,PQ - Lattice,21,100,10975160,912241,91.69,3292.548,273.6723,143842160.88
ML-DSA-87,PQ - Lattice,31,10,16188328,959187,94.07,485.6498,28.7756,15124460.62
ML-DSA-87,PQ - Lattice,31,30,16188328,959187,94.07,1456.9495,86.3268,45373381.85
