Algorithm,Nodes_N,Threshold_K,Throughput_updates_per_sec,Avg_E2E_Latency_ms,Avg_Verify_Latency_ms,Avg_Aggregation_Delay_ms,CPU_Usage_Pct,Memory_MB,Transmitted_KB,Total_Packets,Packets_Lost,Total_Verifications,Failed_Verifications,Failure_Rate_Pct,Successful_Aggregations
ECDSA (secp256k1),5,3,111.8,22.86,0.564,0.004,43.0,87.49,5.44,25,1,20,1,5.0,11
ECDSA (secp256k1),11,7,134.56,36.88,0.752,0.003,27.82,87.77,11.98,55,2,45,2,4.44,19
ECDSA (secp256k1),21,15,177.44,35.38,0.453,0.002,8.4,87.83,22.43,103,4,101,1,0.99,30
ECDSA (secp256k1),31,21,146.57,60.43,0.662,0.003,5.96,87.89,33.11,152,7,124,5,4.03,39
ECDSA (secp256k1),51,34,193.83,90.82,0.57,0.004,6.92,88.08,55.95,257,3,222,6,2.7,72
BLS12-381,5,3,1.36,2767.33,325.825,0.003,11.9,88.96,5.28,26,0,26,1,3.85,15
BLS12-381,11,7,0.97,7819.0,324.431,0.003,11.06,89.14,11.38,56,0,45,1,2.22,20
BLS12-381,21,15,0.63,13980.5,327.339,0.004,12.56,89.14,20.92,103,2,83,0,0.0,27
BLS12-381,31,21,0.71,17945.56,324.617,0.006,10.86,89.09,31.28,154,3,156,3,1.92,53
BLS12-381,51,34,0.68,30115.02,323.242,0.008,11.42,89.07,51.39,253,5,239,3,1.26,72
Falcon-512,5,3,2.02,1000.78,0.2,0.003,13.2,89.42,37.87,24,2,19,1,5.26,10
Falcon-512,11,7,105.35,50.79,0.208,0.003,6.96,89.44,86.83,55,1,44,2,4.55,19
Falcon-512,21,15,116.02,81.01,0.197,0.004,7.54,89.44,167.33,106,2,105,1,0.95,34
Falcon-512,31,21,104.71,120.83,0.243,0.004,16.3,89.45,244.6,155,3,127,4,3.15,43
Falcon-512,51,34,139.35,156.69,0.211,0.004,9.12,89.53,408.71,259,5,258,7,2.71,86
ML-DSA-44,5,3,104.15,38.15,0.404,0.003,4.14,89.64,96.38,26,0,25,0,0.0,15
ML-DSA-44,11,7,124.98,48.94,0.378,0.003,10.14,89.67,203.89,55,0,44,0,0.0,20
ML-DSA-44,21,15,118.91,85.25,0.425,0.003,10.82,89.82,385.53,104,2,104,1,0.96,33
ML-DSA-44,31,21,140.3,98.86,0.364,0.003,11.46,89.99,578.3,156,0,126,2,1.59,45
ML-DSA-44,51,34,125.3,121.65,0.371,0.004,16.16,90.26,908.22,245,13,195,3,1.54,60
SLH-DSA-SHA2-128s,5,3,0.22,19062.88,2.15,0.003,12.26,90.64,186.38,24,1,20,0,0.0,12
SLH-DSA-SHA2-128s,11,7,0.16,35565.11,2.137,0.003,12.4,90.71,434.88,56,0,45,2,4.44,19
SLH-DSA-SHA2-128s,21,15,0.13,84764.31,2.181,0.004,13.8,90.69,799.86,103,2,85,1,1.18,29
SLH-DSA-SHA2-128s,31,21,0.11,87768.82,2.207,0.004,12.54,90.89,1188.14,153,6,122,4,3.28,38
SLH-DSA-SHA2-128s,51,34,0.16,131656.01,2.238,0.005,11.76,91.42,1988.0,256,4,260,6,2.31,89
