Algorithm,Category,Network_Nodes_N,Unagg_Payload_Bytes,Agg_Payload_Bytes,Payload_Savings_Pct,Unagg_Verify_ms,Agg_Verify_ms
ECDSA (secp256k1),Classical,5,370,370,0.0,2.2,1.54
ECDSA (secp256k1),Classical,11,814,814,0.0,4.84,3.39
ECDSA (secp256k1),Classical,21,1554,1554,0.0,9.24,6.47
ECDSA (secp256k1),Classical,31,2294,2294,0.0,13.64,9.55
ECDSA (secp256k1),Classical,51,3774,3774,0.0,22.44,15.71
BLS12-381,Classical,5,500,116,76.8,1658.25,447.16
BLS12-381,Classical,11,1100,140,87.27,3648.15,503.75
BLS12-381,Classical,21,2100,180,91.43,6964.65,550.16
BLS12-381,Classical,31,3100,220,92.9,10281.15,578.11
BLS12-381,Classical,51,5100,300,94.12,16914.15,613.84
ML-DSA-44,PQ - Lattice,5,12120,2737,77.42,1.85,0.58
ML-DSA-44,PQ - Lattice,11,26664,2906,89.1,4.07,0.69
ML-DSA-44,PQ - Lattice,21,50904,3066,93.98,7.77,0.78
ML-DSA-44,PQ - Lattice,31,75144,3178,95.77,11.47,0.83
ML-DSA-44,PQ - Lattice,51,123624,3350,97.29,18.87,0.89
ML-DSA-65,PQ - Lattice,5,16565,3626,78.11,3.05,0.96
ML-DSA-65,PQ - Lattice,11,36443,3795,89.59,6.71,1.14
ML-DSA-65,PQ - Lattice,21,69573,3955,94.32,12.81,1.28
ML-DSA-65,PQ - Lattice,31,102703,4067,96.04,18.91,1.37
ML-DSA-65,PQ - Lattice,51,168963,4239,97.49,31.11,1.48
ML-DSA-87,PQ - Lattice,5,23155,4944,78.65,4.95,1.56
ML-DSA-87,PQ - Lattice,11,50941,5113,89.96,10.89,1.85
ML-DSA-87,PQ - Lattice,21,97251,5273,94.58,20.79,2.08
ML-DSA-87,PQ - Lattice,31,143561,5385,96.25,30.69,2.22
ML-DSA-87,PQ - Lattice,51,236181,5557,97.65,50.49,2.39
Falcon-512,PQ - Lattice,5,3285,1044,68.22,1.0,0.29
Falcon-512,PQ - Lattice,11,7227,1250,82.7,2.2,0.34
Falcon-512,PQ - Lattice,21,13797,1439,89.57,4.2,0.38
Falcon-512,PQ - Lattice,31,20367,1569,92.3,6.2,0.4
Falcon-512,PQ - Lattice,51,33507,1764,94.74,10.2,0.43
Falcon-1024,PQ - Lattice,5,6370,1661,73.92,1.95,0.57
Falcon-1024,PQ - Lattice,11,14014,1867,86.68,4.29,0.66
Falcon-1024,PQ - Lattice,21,26754,2056,92.32,8.19,0.73
Falcon-1024,PQ - Lattice,31,39494,2186,94.46,12.09,0.78
Falcon-1024,PQ - Lattice,51,64974,2381,96.34,19.89,0.83
SLH_DSA_PURE_SHA2_128S,PQ - Hash-based,5,39300,8470,78.45,17.2,6.24
SLH_DSA_PURE_SHA2_128S,PQ - Hash-based,11,86460,8785,89.84,37.84,7.61
SLH_DSA_PURE_SHA2_128S,PQ - Hash-based,21,165060,9064,94.51,72.24,8.73
SLH_DSA_PURE_SHA2_128S,PQ - Hash-based,31,243660,9248,96.2,106.64,9.4
SLH_DSA_PURE_SHA2_128S,PQ - Hash-based,51,400860,9512,97.63,175.44,10.27
